study_time_hours,exam_result
2.78,58.9
3.37,54.8
7.88,90.3
0.67,29.7
0.89,43.7
3.48,58.2
1.35,53.7
5.48,47.3
2.89,44.9
6.77,77.7
5.99,63.2
3.77,53.5
6.76,63.9
0.81,34.1
4.65,83.5
4.84,98.5
1.97,70.3
0.4,32.3
4.28,56.2
4.11,49.3
5.23,68.1
1.7,52.1
1.44,47.1
7.82,84.8
0.91,68.9
7.91,76.3
5.76,71.6
5.03,74.1
2.72,56.6
6.94,49.2
7.28,97.5
5.78,81.8
5.68,65.6
3.95,71.1
0.62,60.3
7.91,81.3
0.12,37.3
3.96,52
2.94,58.9
6.21,65.8
5.89,67.6
5.02,99.3
0.6,33.6
1.89,35.5
0.75,42.8
7.83,100
1.02,50.4
7.74,74
0.9,30.9
6.9,75.9
4.6,75.3
6.65,88.7
5.07,73.6
6.15,76.8
5.85,64.9
2.08,47.2
7.48,78.1
5.15,77.8
1.62,66.9
2.45,70.5
4.26,57.2
7.05,75.5
6.37,62.8
2.42,31.7
5.51,70.3
0.08,19.599
2.66,54
6.72,61
1.21,35.1
2.83,57.5
0.08,26.4
0.19,45.3
1.17,46.9
0.81,37.1
3.92,54
7.2,78.8
0.68,49.9
6.96,76.9
5.35,54.4
1.35,28.3
2.32,53.1
1.55,75.6
6.31,57.5
5.8,59.8
2.44,51.3
0.43,23.9
1.35,48.1
5.04,65.3
0.72,56.6
4.29,79.5
4.9,79.9
5.5,65.8
1,61.1
3.68,65.8
3.71,49
6.68,66.3
3.75,63.9
3.25,49.5
0.99,40
5.56,78.7
4.96,61.4
5.74,69.6
5.25,71.9
7,88.5
7.02,63.8
2.46,37.1
1.46,51.1
7.41,91.3
5.7,95.2
7.77,74.3
3.98,64
7.7,79.6
0.98,51.8
4.72,74.4
3.97,69.9
0.08,26.5
1.54,45.5
1.23,57
0.49,52.8
7.59,93.1
7.72,100
7.13,81.6
7.91,100
6.65,100
7.46,76.9
1.58,51.9
2.06,51
6.9,71.1
3.84,86.9
5.74,67.4
4.5,76.3
2.45,40.7
2.28,19.599
5.99,71.9
4.26,56.6
2.88,64.9
4.94,65.6
3.36,49
3.8,53.7
5.42,72.2
3.66,65.4
7.6,83.3
3.88,41.8
7.69,69.4
6.78,75.4
7.13,66.9
6.11,100
4.84,70.7
4.26,34.3
4.41,83.7
1.61,29.2
1.72,60.9
0.27,36.3
5.96,69.1
1,63.5
4.66,82.6
1.1,38.8
0.53,56.9
4.27,45.7
6.98,92
2.85,32.1
7.35,100
0.08,40.8
3.73,69.5
1.17,39
2.53,23.5
0.19,19.599
0.28,46
5.7,67.9
5.24,54
1.67,53.5
7.21,77.8
5.5,68.1
2.69,49
3.26,52.2
2.34,55.4
6.64,69.4
3.95,80.7
1.08,32
1.61,34.3
2.37,35.4
3.23,57.8
4.74,50.4
7.71,87.2
2.1,56.6
2.63,91.6
0.19,23.7
2.98,56.5
5.4,76.1
7.7,73.1
5.92,74.8
0.94,21.4
7.12,69.5
6.71,90
1.51,44.3
7.47,66.6
5.71,83.5
6.26,70.9
3.67,67.9
1.61,44.7
6.39,84
3.82,73
7.74,65
1.23,31.4
2.84,48.5
5.88,78.6
4.58,90.9
3.47,39.6
5.61,66.5
5.87,83.1
4.62,40.2
2.55,57.6
4.95,51.5
4.36,92.2
6.38,72.7
5.23,69.9
3.97,62.6
0.15,27.7
1.34,55.9
2.69,57.2
4.81,69.9
6.34,84.6
7.68,100
4.8,61.6
5.83,59.6
4.97,37.9
3.44,40.8
4.88,73.6
3.21,52.1
3.63,65.9
7.29,100
4.51,70.6
0.8,61.6
4.19,74.8
7.63,68.6
0.8,57.4
7.77,95.5
7.9,89
4.49,72.6
2.66,44.3
0.08,19.599
0.12,61.2
3.1,54.6
6.26,95.6
7.54,90.6
1.24,67.1
3.9,68.4
4.01,83.4
3.04,53.2
4.32,71.4
7.4,86.2
3.51,55.4
1.1,19.8
5.32,75.7
0.25,31.9
7.52,90.7
7.52,81.7
0.74,27.6
4.41,70.6
6.38,92.1
3.72,64.6
3.83,80.7
7.76,69.8
1.84,74.9
4.21,50.5
0.92,67.6
2.42,53.2
6.81,85.2
5.73,70.2
4.9,65.9
0.91,47.4
6.81,82.8
2.38,67.7
4.28,65.8
1.87,54.3
4.17,49.9
4.5,62.2
2.72,66.1
4.05,60.2
3.25,80.1
5.58,76.3
4.35,62
7.02,93.8
0.4,42.3
0.21,56.4
1.51,52.6
0.95,43.2
4.21,60.5
1.6,41
0.13,22.1
2.26,28.3
4.07,52.4
5.71,84.3
3.51,60.8
7.7,55.2
1.6,59.7
4.11,69.1
2.03,57
6.45,67.9
1.5,38.3
7.69,67.2
5.73,72.9
4.45,74.2
4.26,84.4
2.9,64.7
0.17,49.1
7.32,85.5
6.36,50.7
1.08,59.1
0.98,51.3
2.46,53.6
6.11,50.3
4.03,45.7
5.23,66.1
0.08,36.6
7.39,83.3
1.33,55.9
2.55,70.6
7.58,78.3
5.86,70.8
4.09,59
6.9,70.1
0.49,46.2
0.61,31.4
1.24,34.8
2.12,57.7
5.67,53.6
4.26,72.2
3.41,47.4
6.26,72.4
2.54,48.3
0.68,50.6
3.17,66.7
6.13,60.4
3.79,58.2
7.82,87.2
